Date,Price,EB
2022-11-12,16837.51755259,2389182.72279622
2022-11-13,16341.54422339,2366566.83685182
2022-11-14,16633.46561993,2355294.76018948
2022-11-15,16902.89218503,2355297.32872285
2022-11-16,16673.61507448,2330133.40631218
2022-11-17,16698.5149025,2327398.06463555
2022-11-18,16715.45412385,2370174.04481164
2022-11-19,16719.28201044,2368526.94389385
2022-11-20,16289.17460903,2363035.1941484
2022-11-21,15792.34297556,2352099.22488743
2022-11-22,16231.72909757,2351567.90044613
2022-11-23,16620.25502448,2305077.17942955
2022-11-24,16610.57450867,2303645.54555808
2022-11-25,16528.88520387,2304047.08520173
2022-11-26,16474.09334198,2304247.02334431
2022-11-27,16434.24610151,2306559.48339695
2022-11-28,16217.05504159,2301841.67234014
2022-11-29,16444.70137611,2304351.38787019
2022-11-30,17157.02425013,2305670.30836198
2022-12-01,16976.15299274,2306550.35323821
2022-12-02,17092.71516385,2303140.86858578
2022-12-03,16877.14052092,2301232.06887741
2022-12-04,17105.31759356,2299781.38728432
2022-12-05,16966.92087565,2301443.25452198
2022-12-06,17087.97891403,2299437.24266411
2022-12-07,16835.22011898,2299292.06759268
2022-12-08,17219.89606863,2297619.17378095
2022-12-09,17127.16833727,2291364.31457802
2022-12-10,17126.40549254,2290468.28277243
2022-12-11,17084.93624957,2288360.36826415
2022-12-12,17202.71873921,2280946.12757816
2022-12-13,17774.35719167,2249947.64040476
2022-12-14,17799.81180519,2239411.91160525
2022-12-15,17356.89583242,2240165.81884806
2022-12-16,16628.36291394,2225398.20619216
2022-12-17,16780.28156575,2218086.96393195
2022-12-18,16737.36897081,2219207.02422668
2022-12-19,16439.33410047,2216917.82155075
2022-12-20,16898.54262764,2218700.21109641
2022-12-21,16823.37766312,2220641.96946708
2022-12-22,16822.82374857,2223586.8503404
2022-12-23,16778.25853161,2227755.21657997
2022-12-24,16835.00526146,2226284.94559608
2022-12-25,16833.59736317,2227301.66175108
2022-12-26,16919.3689372,2226919.44346705
2022-12-27,16709.41628175,2230049.58383366
2022-12-28,16551.67945132,2232439.69401454
2022-12-29,16635.80163343,2227286.61760487
2022-12-30,16613.01217335,2225183.59665838
2022-12-31,16533.83594072,2230445.39749518
2023-01-01,16619.21071995,2234802.31913175
2023-01-02,16682.19650927,2236210.68014664
2023-01-03,16679.51741462,2237176.51861845
2023-01-04,16852.77996797,2252253.38785482
